,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2015-02-10,37.3,131.7646663,315.1075988,93.94852939
2015-02-11,36.5,133.2354564,307.3321942,87.65559724
2015-02-12,36.3,132.6507539,308.3280199,89.02192
2015-02-13,36.5,133.794167,308.1835242,88.99488223
2015-02-14,36.8,133.4180021,311.792097,91.90807531
2015-02-15,36.4,133.0329372,313.9740339,93.77797994
2015-02-16,35.8,132.5060947,318.1253043,96.60409798
2015-02-17,36.1,132.6003875,315.4743066,95.42592056
2015-02-18,34.8,133.0168491,310.7469131,92.03526248
2015-02-19,36.7,133.0828102,309.0540341,86.81233295
2015-02-20,34.3,133.2533801,308.3155888,86.8254219
2015-02-21,35.5,132.0681443,309.7468299,90.51292369
2015-02-22,37.7,132.1592417,314.1503168,90.15434746
2015-02-23,38.8,131.7318326,316.5169963,94.84687378
2015-02-24,38.6,132.7045964,313.8473891,92.20107607
2015-02-25,38.1,132.6854027,307.5743089,89.68914322
2015-02-26,37.2,133.159175,313.1849623,92.23490274
2015-02-27,37.1,131.5630859,301.2151194,92.91930647
2015-02-28,38.7,131.9393734,307.2628765,91.00161186
2015-03-01,37.4,130.8251128,309.0472629,92.33741657
2015-03-02,37.3,132.3663277,300.6332962,91.1870609
2015-03-03,35.6,133.8022175,309.0092846,85.30138618
2015-03-04,32.5,131.8932946,309.1881829,90.42407494
2015-03-05,35.1,132.9174759,312.3552266,88.97131273
2015-03-06,36.1,132.000672,314.0630899,91.1895778
2015-03-07,35.5,133.2979771,308.1598945,89.12912224
2015-03-08,37.6,132.0259945,308.8464178,92.41070638
2015-03-09,37.1,132.302898,310.5508218,88.29574238
2015-03-10,36.2,132.6002055,306.4406069,88.0447182
2015-03-11,39.3,131.3228257,314.7407831,88.89117219
2015-03-12,37.2,131.9693391,310.3523018,88.46674962
2015-03-13,36.9,132.2278607,300.2007977,90.54194403
2015-03-14,36.5,131.1356111,311.2009326,92.56970483
2015-03-15,36.2,132.8890776,300.8169572,90.2970594
2015-03-16,38.1,130.4391975,307.4308973,97.03393071
2015-03-17,36.7,133.5014345,312.7521033,88.58148578
2015-03-18,36.8,131.8552558,307.1539761,86.59523314
2015-03-19,34.3,132.6372535,306.9341133,89.12163557
2015-03-20,36.7,132.2811716,318.0495329,92.40145975
2015-03-21,35.8,132.8882762,318.1527998,86.36698706
2015-03-22,35.8,132.3122529,313.5918284,88.22453307
2015-03-23,37.1,131.24043,304.3276727,92.01161607
2015-03-24,38,131.7696657,306.6985822,88.68390342
2015-03-25,38,132.5941335,306.8487134,86.8852916
2015-03-26,39.6,131.3658917,301.6859805,91.22173629
2015-03-27,36.4,131.0991767,312.1027146,92.21117988
2015-03-28,39.6,131.1836026,307.9707222,88.38925203
2015-03-29,37.3,132.0233337,300.4822659,88.65284769
